Numero;Data;Jogo;Resultado;Premio
1;26-08-2023 18:30;Flamengo - Internacional;Empate;R$ 3.941,76
1;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 3.941,76
1;27-08-2023 18:30;Atlético-MG - Santos;Santos;R$ 3.941,76
1;27-08-2023 19:00;Grêmio - Cruzeiro;Empate;R$ 3.941,76
2;26-08-2023 18:30;Flamengo - Internacional;Empate;R$ 3.190,91
2;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 3.190,91
2;27-08-2023 18:30;Atlético-MG - Santos;Empate;R$ 3.190,91
2;27-08-2023 19:00;Grêmio - Cruzeiro;Cruzeiro;R$ 3.190,91
3;26-08-2023 18:30;Flamengo - Internacional;Internacional;R$ 4.065,52
3;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 4.065,52
3;27-08-2023 18:30;Atlético-MG - Santos;Santos;R$ 4.065,52
3;27-08-2023 19:00;Grêmio - Cruzeiro;Empate;R$ 4.065,52
4;26-08-2023 18:30;Flamengo - Internacional;Internacional;R$ 3.412,98
4;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 3.412,98
4;27-08-2023 18:30;Atlético-MG - Santos;Empate;R$ 3.412,98
4;27-08-2023 19:00;Grêmio - Cruzeiro;Cruzeiro;R$ 3.412,98
5;26-08-2023 18:30;Flamengo - Internacional;Internacional;R$ 3.920,32
5;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 3.920,32
5;27-08-2023 18:30;Atlético-MG - Santos;Santos;R$ 3.920,32
5;27-08-2023 19:00;Grêmio - Cruzeiro;Cruzeiro;R$ 3.920,32
6;26-08-2023 18:30;Flamengo - Internacional;Internacional;R$ 3.676,76
6;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 3.676,76
6;27-08-2023 18:30;Atlético-MG - Santos;Empate;R$ 3.676,76
6;27-08-2023 19:00;Grêmio - Cruzeiro;Empate;R$ 3.676,76
7;26-08-2023 18:30;Flamengo - Internacional;Internacional;R$ 3.646,75
7;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 3.646,75
7;27-08-2023 18:30;Atlético-MG - Santos;Empate;R$ 3.646,75
7;27-08-2023 19:00;Grêmio - Cruzeiro;Cruzeiro;R$ 3.646,75
8;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 1.230,17
8;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 1.230,17
8;27-08-2023 18:30;Atlético-MG - Santos;Santos;R$ 1.230,17
8;27-08-2023 19:00;Grêmio - Cruzeiro;Empate;R$ 1.230,17
9;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 342,36
9;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 342,36
9;27-08-2023 16:00;Atlético-MG - Santos;Empate;R$ 342,36
9;27-08-2023 18:30;Athletico-PR - Fluminense;Empate;R$ 342,36
10;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 481,24
10;27-08-2023 16:00;Atlético-MG - Santos;Empate;R$ 481,24
10;27-08-2023 18:30;Athletico-PR - Fluminense;Empate;R$ 481,24
10;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 481,24
11;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 910,46
11;27-08-2023 18:30;Athletico-PR - Fluminense;Empate;R$ 910,46
11;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 910,46
11;27-08-2023 16:00;Atlético-MG - Santos;Santos;R$ 910,46
12;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 1.055,60
12;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 1.055,60
12;27-08-2023 16:00;Atlético-MG - Santos;Santos;R$ 1.055,60
12;27-08-2023 18:30;Athletico-PR - Fluminense;Fluminense;R$ 1.055,60
13;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 557,96
13;27-08-2023 11:00;Bragantino - Cuiabá;Cuiabá;R$ 557,96
13;27-08-2023 18:30;Athletico-PR - Fluminense;Fluminense;R$ 557,96
13;27-08-2023 16:00;Atlético-MG - Santos;Empate;R$ 557,96
14;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 391,65
14;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 391,65
14;27-08-2023 18:30;Athletico-PR - Fluminense;Fluminense;R$ 391,65
14;27-08-2023 16:00;Atlético-MG - Santos;Empate;R$ 391,65
15;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 740,95
15;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 740,95
15;27-08-2023 18:30;Athletico-PR - Fluminense;Fluminense;R$ 740,95
15;27-08-2023 16:00;Atlético-MG - Santos;Santos;R$ 740,95
16;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 639,07
16;27-08-2023 11:00;Bragantino - Cuiabá;Empate;R$ 639,07
16;27-08-2023 16:00;Atlético-MG - Santos;Santos;R$ 639,07
16;27-08-2023 18:30;Athletico-PR - Fluminense;Empate;R$ 639,07
17;26-08-2023 18:30;Flamengo - Internacional;Flamengo;R$ 2.216,00
17;27-08-2023 16:00;Botafogo-RJ - Bahia;Botafogo-RJ;R$ 2.216,00
